"Statistic Label","Year","Item","UNIT","VALUE"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","20959"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","18262"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","14933"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","3329"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","982"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","452"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","352"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","911"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","22096"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","21816"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","5831"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","3120"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","1006"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","2814"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","548"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","6291"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","1396"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","809"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net operating balance - ESA2010 Code  (NOB)","Euro Million","-857"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","280"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-1137"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net acquisition of financial assets","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net incurrence of liabilities","Euro Million","0"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","1995","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","0"
