,Year,Emigrant Percentage of Population,T-1 Emigrant Percentage of Population,T-1 Unemployment rate_Ireland_Total_Foreign-born,T-1 Enterprises_Ireland_250+,T-1 Direct Investment Flows in Ireland_United States,T-1 Direct Investment Flows Abroad_EU28,T-1 General Surplus/Deficit (Million Euros),T-1 EU in OECD_Tax Single 100% wo Child,T-1 Food_Drinks_CPI,T-1 Crisis Indicator,Events_Positive_Impact,Events_Negative_Impact,Events_Impact
0,1952.0,,,,,,,,,,0,0,0,0
1,1953.0,,,,,,,,,,0,0,0,0
2,1954.0,,,,,,,,,,0,0,0,0
3,1955.0,,,,,,,,,,0,0,0,0
4,1956.0,,,,,,,,,,0,0,0,0
5,1957.0,,,,,,,,,,0,0,0,0
6,1958.0,,,,,,,,,,0,0,0,0
7,1959.0,,,,,,,,,,0,0,0,0
8,1960.0,,,,,,,,,,0,0,0,0
9,1961.0,,,,,,,,,,0,0,0,0
10,1962.0,,,,,,,,,,0,0,0,0
11,1963.0,,,,,,,,,,0,0,0,0
12,1964.0,,,,,,,,,,1,0,0,0
13,1965.0,,,,,,,,,,0,0,0,0
14,1966.0,,,,,,,,,,1,0,0,0
15,1967.0,,,,,,,,,,1,0,0,0
16,1968.0,,,,,,,,,,0,0,0,0
17,1969.0,,,,,,,,,,0,0,0,0
18,1970.0,,,,,,,,,,0,0,0,0
19,1971.0,,,,,,,,,,0,0,0,0
20,1972.0,,,,,,,,,,0,1,0,1
21,1973.0,,,,,,,,,,1,0,0,0
22,1974.0,,,,,,,,,,0,0,0,0
23,1975.0,,,,,,,,,,0,0,0,0
24,1976.0,,,,,,,,,,0,0,0,0
25,1977.0,,,,,,,,,,2,0,0,0
26,1978.0,,,,,,,,,,1,0,0,0
27,1979.0,,,,,,,,,,1,0,0,0
28,1980.0,,,,,,,,,,0,0,1,1
29,1981.0,,,,,,,,,,0,0,1,1
30,1982.0,,,,,,,,,,0,0,1,1
31,1983.0,,,,,,,,,,1,0,0,0
32,1984.0,,,,,,,,,,2,0,0,0
33,1985.0,,,,,,,,,,1,0,0,0
34,1986.0,,,,,,,,,,1,0,0,0
35,1987.0,1.135574935657816,,,,,,,,,2,0,1,1
36,1988.0,1.733358411710354,1.135574935657816,,,,,,,,1,0,0,0
37,1989.0,2.010817972839147,1.733358411710354,,,,,,,,1,0,0,0
38,1990.0,1.602174631912473,2.010817972839147,,,,,,,,0,0,0,0
39,1991.0,0.9988017208816051,1.602174631912473,,,,,,,,1,0,0,0
40,1992.0,0.9386161874759374,0.9988017208816051,,,,,,,,1,0,0,0
41,1993.0,0.9814719898799333,0.9386161874759374,,,,,,,,1,0,0,0
42,1994.0,0.9692551163022584,0.9814719898799333,,,,,,,,1,0,0,0
43,1995.0,0.9171919738220664,0.9692551163022584,,,,,,,,0,0,0,0
44,1996.0,0.8577296007433656,0.9171919738220664,,,,,-1137.0,,,0,0,0,0
45,1997.0,0.6885907052230286,0.8577296007433656,,,,,-119.0,,,1,1,0,1
46,1998.0,0.7703297011120759,0.6885907052230286,,,,,953.0,,2.75,1,0,0,0
