,Year,Immigrant Percentage of Population,T-1  Immigrants 25-44 years,T-1 Enterprises_Ireland_250+,T-1 Trade Volume Index Imports (Base 2010),T-1 Housing_CPI,T-1 Trade Volume Index Exports (Base 2010),T-1 Immigrants_Other countries (23),T-1 Emigrants_EU15 to EU27,T-1 East Asia & Pacific Percentage Change,T-1 Emigrants 15-24 years,T-1 South Asia Percentage Change,T-1 Unemployment rate_Ireland_Total_Foreign-born,T-1 Avg Unemployment Natives outside Ireland,T-1 Direct Investment Flows in Ireland_United States,T-1 Ireland 10Y Bond Yield,T-1 Ireland_Tax Married 100% w 2 Children,T-1 Crisis Indicator,Events_Positive_Impact,Events_Negative_Impact,Events_Impact
0,1952.0,,,,4.6,,1.0,,,,,,,,,,,0,0,0,0
1,1953.0,,,,3.9,,1.2,,,,,,,,,,,0,0,0,0
2,1954.0,,,,4.4,,1.3,,,,,,,,,,,0,0,0,0
3,1955.0,,,,4.3,,1.4,,,,,,,,,,,0,0,0,0
4,1956.0,,,,4.8,,1.3,,,,,,,,,,,0,0,0,0
5,1957.0,,,,4.1,,1.3,,,,,,,,,,,0,0,0,0
6,1958.0,,,,3.9,,1.6,,,,,,,,,,,0,0,0,0
7,1959.0,,,,4.4,,1.6,,,,,,,,,,,0,0,0,0
8,1960.0,,,,4.8,,1.5,,,,,,,,,,,0,0,0,0
9,1961.0,,,,5.1,,1.8,,,,,,,,,,,0,0,0,0
10,1962.0,,,,5.8,,2.1,,,0.179175762718341,,2.381391337351552,,,,,,0,0,0,0
11,1963.0,,,,6.1,,2.0,,,1.377452369572478,,2.392210066931944,,,,,,0,0,0,0
12,1964.0,,,,6.7,,2.2,,,2.434757442682314,,2.399072023725192,,,,,,1,0,0,0
13,1965.0,,,,7.8,,2.5,,,2.342029815902542,,2.400381805717411,,,,,,0,0,0,0
14,1966.0,,,,8.2,,2.6,,,2.350316892953582,,2.354248261977962,,,,,,1,0,0,0
15,1967.0,,,,8.4,,2.9,,,2.577178028164507,,2.292544816091211,,,,,,1,0,0,0
16,1968.0,,,,8.8,,3.3,,,2.430011095629295,,2.284791179100745,,,,,,0,0,0,0
17,1969.0,,,,10.1,,3.6,,,2.485300907837377,,2.321767545753626,,,,,,0,0,0,0
18,1970.0,,,,11.6,,3.7,,,2.587522055206164,,2.339977037164394,,,,,,0,0,0,0
19,1971.0,,,,12.0,,4.0,,,2.592244413656972,,2.31303515340918,,,,,,0,0,0,0
20,1972.0,,,,12.6,,4.3,,,2.657539376396714,,2.184379037236431,,,,,,0,1,0,1
21,1973.0,,,,13.4,,4.6,,,2.379820029947746,,2.209151472402136,,,,,,1,0,0,0
22,1974.0,,,,16.1,,5.0,,,2.251708458110668,,2.35060219627891,,,,,,0,0,0,0
23,1975.0,,,,15.7,,5.3,,,2.09532812608921,,2.35422457406479,,,,,,0,0,0,0
24,1976.0,,,,13.6,,5.7,,,1.855107667141564,,2.331804354819147,,,,,,0,0,0,0
25,1977.0,,,,15.7,,5.9,,,1.676653991882109,,2.29948196485047,,,,,,2,0,0,0
26,1978.0,,,,17.8,,7.0,,,1.561841249083897,,2.309821979310079,,,,,,1,0,0,0
27,1979.0,,,,20.3,,7.7,,,1.553945656545302,,2.327968968917267,,,,,,1,0,0,0
28,1980.0,,,,23.3,,8.3,,,1.553208748641246,,2.335978232201843,,,,,,0,0,1,1
29,1981.0,,,,22.2,,9.0,,,1.492538732473286,,2.371123993687538,,,,,,0,0,1,1
30,1982.0,,,,22.6,,9.0,,,1.519246547846242,,2.345153430119805,,,,,,0,0,1,1
31,1983.0,,,,21.9,,9.7,,,1.637746133416583,,2.356613592990827,,,,,,1,0,0,0
32,1984.0,,,,22.6,,10.9,,,1.607168406935744,,2.414912773711352,,,,,,2,0,0,0
33,1985.0,,,,24.9,,12.9,,,1.502843727036225,,2.41079834274911,,,,,,1,0,0,0
34,1986.0,,,,25.7,,13.7,,,1.509976073995672,,2.393240930914561,,,,,,1,0,0,0
35,1987.0,0.4858678829182694,,,26.5,,14.2,,,1.566899120249689,,2.359809013662343,,,,,,2,0,1,1
36,1988.0,0.544688731666756,4066.666666666667,,28.1,,16.3,4000.0,,1.628992524871419,16000.0,2.322354241661041,,,,,,1,0,0,0
