,Year,Migration Percentage of Population,T-1 Net migration 25-44 years,T-1 Enterprises_Ireland_250+,T-1 General Surplus/Deficit (Million Euros),T-1 Trade Volume Index Imports (Base 2010),T-1 Housing_CPI,T-1 Trade Volume Index Exports (Base 2010),T-1 Unemployment rate_Ireland_Total_Foreign-born,T-1 Emigrants 15-24 years,T-1 Emigrants_EU15 to EU27,T-1 South Asia Percentage Change,T-1 Migration Percentage of Population,T-1 Crisis Indicator,Events_Positive_Impact,Events_Negative_Impact,Events_Impact
0,1952.0,,,,,4.6,,1.0,,,,,,0,0,0,0
1,1953.0,,,,,3.9,,1.2,,,,,,0,0,0,0
2,1954.0,,,,,4.4,,1.3,,,,,,0,0,0,0
3,1955.0,,,,,4.3,,1.4,,,,,,0,0,0,0
4,1956.0,,,,,4.8,,1.3,,,,,,0,0,0,0
5,1957.0,,,,,4.1,,1.3,,,,,,0,0,0,0
6,1958.0,,,,,3.9,,1.6,,,,,,0,0,0,0
7,1959.0,,,,,4.4,,1.6,,,,,,0,0,0,0
8,1960.0,-1.449480308279714,,,,4.8,,1.5,,,,,,0,0,0,0
9,1961.0,-1.41622999575131,,,,5.1,,1.8,,,,,-1.449480308279714,0,0,0,0
10,1962.0,-0.5289046384936795,,,,5.8,,2.1,,,,2.381391337351552,-1.41622999575131,0,0,0,0
11,1963.0,-0.2804409934622193,,,,6.1,,2.0,,,,2.392210066931944,-0.5289046384936795,0,0,0,0
12,1964.0,-0.5930473914636061,,,,6.7,,2.2,,,,2.399072023725192,-0.2804409934622193,1,0,0,0
13,1965.0,-0.6950960970354151,,,,7.8,,2.5,,,,2.400381805717411,-0.5930473914636061,0,0,0,0
14,1966.0,-0.7269454444752146,,,,8.2,,2.6,,,,2.354248261977962,-0.6950960970354151,1,0,0,0
15,1967.0,-0.4478974659339523,,,,8.4,,2.9,,,,2.292544816091211,-0.7269454444752146,1,0,0,0
16,1968.0,-0.5487815335013977,,,,8.8,,3.3,,,,2.284791179100745,-0.4478974659339523,0,0,0,0
17,1969.0,-0.5114827886041635,,,,10.1,,3.6,,,,2.321767545753626,-0.5487815335013977,0,0,0,0
18,1970.0,-0.169075999661848,,,,11.6,,3.7,,,,2.339977037164394,-0.5114827886041635,0,0,0,0
19,1971.0,-0.1671095068598452,,,,12.0,,4.0,,,,2.31303515340918,-0.169075999661848,0,0,0,0
20,1972.0,0.3622174292441181,,,,12.6,,4.3,,,,2.184379037236431,-0.1671095068598452,0,1,0,1
21,1973.0,0.4212641163985159,,,,13.4,,4.6,,,,2.209151472402136,0.3622174292441181,1,0,0,0
22,1974.0,0.5099601593625498,,,,16.1,,5.0,,,,2.35060219627891,0.4212641163985159,0,0,0,0
23,1975.0,0.6270477026539794,,,,15.7,,5.3,,,,2.35422457406479,0.5099601593625498,0,0,0,0
24,1976.0,0.4941245502694523,,,,13.6,,5.7,,,,2.331804354819147,0.6270477026539794,0,0,0,0
25,1977.0,0.3046736944732192,,,,15.7,,5.9,,,,2.29948196485047,0.4941245502694523,2,0,0,0
26,1978.0,0.2102670391397074,,,,17.8,,7.0,,,,2.309821979310079,0.3046736944732192,1,0,0,0
27,1979.0,0.4742497221193034,,,,20.3,,7.7,,,,2.327968968917267,0.2102670391397074,1,0,0,0
28,1980.0,-0.2344116268166901,,,,23.3,,8.3,,,,2.335978232201843,0.4742497221193034,0,0,1,1
29,1981.0,0.05792064871126557,,,,22.2,,9.0,,,,2.371123993687538,-0.2344116268166901,0,0,1,1
30,1982.0,-0.02868781915198806,,,,22.6,,9.0,,,,2.345153430119805,0.05792064871126557,0,0,1,1
31,1983.0,-0.3987922292485615,,,,21.9,,9.7,,,,2.356613592990827,-0.02868781915198806,1,0,0,0
32,1984.0,-0.2547826237118261,,,,22.6,,10.9,,,,2.414912773711352,-0.3987922292485615,2,0,0,0
33,1985.0,-0.5652780235166963,,,,24.9,,12.9,,,,2.41079834274911,-0.2547826237118261,1,0,0,0
34,1986.0,-0.7910297229418396,,,,25.7,,13.7,,,,2.393240930914561,-0.5652780235166963,1,0,0,0
35,1987.0,-0.6497070527395463,,,,26.5,,14.2,,,,2.359809013662343,-0.7910297229418396,2,0,1,1
36,1988.0,-1.188669680043598,,,,28.1,,16.3,,16000.0,,2.322354241661041,-0.6497070527395463,1,0,0,0
