"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","SECT","Sector","SEX","Sex","COU","Country of residence","Value","Flag Codes","Flags"
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","E","Electricity, gas and water supply","2","Women","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","E","Electricity, gas and water supply","1","Men","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","E","Electricity, gas and water supply","ALL_SEX","Men and women","IRL","Ireland",6,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2","Women","IRL","Ireland",131,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1","Men","IRL","Ireland",217,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","ALL_SEX","Men and women","IRL","Ireland",348,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","H","Hotels and restaurants","2","Women","IRL","Ireland",111,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","H","Hotels and restaurants","1","Men","IRL","Ireland",228,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","H","Hotels and restaurants","ALL_SEX","Men and women","IRL","Ireland",339,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","L","Public administration and defence; compulsory social security","2","Women","IRL","Ireland",9,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","L","Public administration and defence; compulsory social security","1","Men","IRL","Ireland",10,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","L","Public administration and defence; compulsory social security","ALL_SEX","Men and women","IRL","Ireland",19,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","Q","Extra-territorial organizations and bodies","2","Women","IRL","Ireland",2,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","Q","Extra-territorial organizations and bodies","1","Men","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","Q","Extra-territorial organizations and bodies","ALL_SEX","Men and women","IRL","Ireland",5,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","F","Construction","2","Women","IRL","Ireland",9,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","F","Construction","1","Men","IRL","Ireland",94,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","F","Construction","ALL_SEX","Men and women","IRL","Ireland",103,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","J","Financial intermediation","2","Women","IRL","Ireland",50,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","J","Financial intermediation","1","Men","IRL","Ireland",41,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","J","Financial intermediation","ALL_SEX","Men and women","IRL","Ireland",91,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","C","Mining and quarrying","1","Men","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","C","Mining and quarrying","ALL_SEX","Men and women","IRL","Ireland",3,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","M","Education","2","Women","IRL","Ireland",31,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","M","Education","1","Men","IRL","Ireland",14,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","M","Education","ALL_SEX","Men and women","IRL","Ireland",45,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","D","Manufacturing","2","Women","IRL","Ireland",58,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","D","Manufacturing","1","Men","IRL","Ireland",265,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","D","Manufacturing","ALL_SEX","Men and women","IRL","Ireland",323,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","O","Other community, social and personal service activities","2","Women","IRL","Ireland",51,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","O","Other community, social and personal service activities","1","Men","IRL","Ireland",49,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","O","Other community, social and personal service activities","ALL_SEX","Men and women","IRL","Ireland",100,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","P","Private households with employed persons","2","Women","IRL","Ireland",6,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","P","Private households with employed persons","ALL_SEX","Men and women","IRL","Ireland",6,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","I","Transport, storage and communications","2","Women","IRL","Ireland",28,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","I","Transport, storage and communications","1","Men","IRL","Ireland",97,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","I","Transport, storage and communications","ALL_SEX","Men and women","IRL","Ireland",125,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","A_B","Agriculture and fishing","2","Women","IRL","Ireland",6,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","A_B","Agriculture and fishing","1","Men","IRL","Ireland",16,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","A_B","Agriculture and fishing","ALL_SEX","Men and women","IRL","Ireland",22,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","K","Real estate, renting and business activities","2","Women","IRL","Ireland",109,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","K","Real estate, renting and business activities","1","Men","IRL","Ireland",187,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","K","Real estate, renting and business activities","ALL_SEX","Men and women","IRL","Ireland",296,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","N","Health and social work","2","Women","IRL","Ireland",104,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","N","Health and social work","1","Men","IRL","Ireland",28,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","N","Health and social work","ALL_SEX","Men and women","IRL","Ireland",132,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","999","Unknown","2","Women","IRL","Ireland",75,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","999","Unknown","1","Men","IRL","Ireland",119,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","999","Unknown","ALL_SEX","Men and women","IRL","Ireland",194,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","ALL_SECT","All sectors","2","Women","IRL","Ireland",783,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","ALL_SECT","All sectors","1","Men","IRL","Ireland",1374,,
"AFRI","Africa","1","Foreign-born","2","ISCED 3/4","ALL_SECT","All sectors","ALL_SEX","Men and women","IRL","Ireland",2157,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","E","Electricity, gas and water supply","2","Women","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","E","Electricity, gas and water supply","1","Men","IRL","Ireland",3,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","E","Electricity, gas and water supply","ALL_SEX","Men and women","IRL","Ireland",6,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","2","Women","IRL","Ireland",131,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","1","Men","IRL","Ireland",217,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","G","Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods","ALL_SEX","Men and women","IRL","Ireland",348,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","H","Hotels and restaurants","2","Women","IRL","Ireland",111,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","H","Hotels and restaurants","1","Men","IRL","Ireland",228,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","H","Hotels and restaurants","ALL_SEX","Men and women","IRL","Ireland",339,,
"AFRI","Africa","ALL_FBORN","All places of birth","2","ISCED 3/4","L","Public administration and defence; compulsory social security","2","Women","IRL","Ireland",9,,
