Month;Year;Ireland 10Y Bond Yield;Percentage Change MoM;Change MoM
June;1999;4,743;;
July;1999;5,082;7,147375079;0,339
August;1999;5,202;2,361275089;0,12
September;1999;5,338;2,614379085;0,136
October;1999;5,394;1,049082053;0,056
November;1999;5,397;0,055617353;0,003
December;1999;5,601;3,77987771;0,204
January;2000;5,787;3,320835565;0,186
February;2000;5,758;-0,501123207;-0,029
March;2000;5,456;-5,244876693;-0,302
April;2000;5,518;1,136363636;0,062
May;2000;5,443;-1,359188112;-0,075
June;2000;5,522;1,451405475;0,079
July;2000;5,466;-1,014125317;-0,056
August;2000;5,571;1,920965971;0,105
September;2000;5,469;-1,83091007;-0,102
October;2000;5,456;-0,237703419;-0,013
November;2000;5,206;-4,582111437;-0,25
December;2000;5,084;-2,343449866;-0,122
January;2001;5,012;-1,41620771;-0,072
February;2001;4,972;-0,798084597;-0,04
March;2001;4,911;-1,226870475;-0,061
April;2001;5,252;6,943596009;0,341
May;2001;5,361;2,075399848;0,109
June;2001;5,299;-1,156500653;-0,062
July;2001;5,065;-4,415927533;-0,234
August;2001;4,962;-2,033563672;-0,103
September;2001;4,973;0,221684805;0,011
October;2001;4,519;-9,12929821;-0,454
November;2001;4,718;4,403629121;0,199
December;2001;5,109;8,287409919;0,391
January;2002;5,169;1,174398121;0,06
February;2002;5,211;0,812536274;0,042
March;2002;5,496;5,46919977;0,285
April;2002;5,365;-2,383551674;-0,131
May;2002;5,401;0,671015843;0,036
June;2002;5,176;-4,165895205;-0,225
July;2002;4,982;-3,748068006;-0,194
August;2002;4,803;-3,592934564;-0,179
September;2002;4,527;-5,746408495;-0,276
October;2002;4,7;3,821515352;0,173
November;2002;4,64;-1,276595745;-0,06
December;2002;4,305;-7,219827586;-0,335
January;2003;4,171;-3,112659698;-0,134
February;2003;3,972;-4,77103812;-0,199
March;2003;4,108;3,423967774;0,136
April;2003;4,127;0,462512171;0,019
May;2003;3,757;-8,965350133;-0,37
June;2003;3,849;2,44876231;0,092
July;2003;4,219;9,612886464;0,37
August;2003;4,179;-0,948091965;-0,04
September;2003;4,01;-4,044029672;-0,169
October;2003;4,316;7,630922693;0,306
November;2003;4,448;3,058387396;0,132
December;2003;4,261;-4,204136691;-0,187
January;2004;4,206;-1,290776813;-0,055
February;2004;4,004;-4,802662863;-0,202
March;2004;3,884;-2,997002997;-0,12
April;2004;4,128;6,282183316;0,244
May;2004;4,302;4,215116279;0,174
June;2004;4,238;-1,487680149;-0,064
July;2004;4,13;-2,548371874;-0,108
August;2004;3,961;-4,092009685;-0,169
September;2004;;;
October;2004;;;
November;2004;;;
December;2004;;;
January;2005;;;
February;2005;;;
March;2005;;;
April;2005;;;
May;2005;;;
June;2005;;;
July;2005;;;
August;2005;;;
September;2005;;;
October;2005;3,32;;
November;2005;3,48;4,819277108;0,16
December;2005;3,301;-5,143678161;-0,179
January;2006;3,481;5,452893063;0,18
February;2006;3,492;0,316001149;0,011
March;2006;3,798;8,762886598;0,306
April;2006;3,954;4,107424961;0,156
May;2006;3,969;0,379362671;0,015
June;2006;4,053;2,116402116;0,084
July;2006;3,915;-3,40488527;-0,138
August;2006;3,761;-3,933588761;-0,154
September;2006;3,709;-1,382611008;-0,052
October;2006;3,745;0,970612025;0,036
November;2006;3,682;-1,682242991;-0,063
December;2006;3,97;7,821835959;0,288
January;2007;4,109;3,501259446;0,139
February;2007;3,961;-3,601849598;-0,148
March;2007;4,086;3,155768745;0,125
April;2007;4,167;1,982378855;0,081
May;2007;4,437;6,479481641;0,27
June;2007;4,6;3,673653369;0,163
July;2007;4,424;-3,826086957;-0,176
August;2007;4,339;-1,921338156;-0,085
September;2007;4,419;1,843742798;0,08
October;2007;4,404;-0,339443313;-0,015
November;2007;4,394;-0,227066303;-0,01
December;2007;4,53;3,095129722;0,136
January;2008;4,163;-8,101545254;-0,367
February;2008;4,137;-0,624549604;-0,026
March;2008;4,287;3,625815809;0,15
April;2008;4,55;6,134826219;0,263
May;2008;4,797;5,428571429;0,247
June;2008;5,07;5,691056911;0,273
July;2008;4,705;-7,199211045;-0,365
August;2008;4,637;-1,445270988;-0,068
September;2008;4,69;1,142980375;0,053
October;2008;4,981;6,204690832;0,291
November;2008;4,314;-13,39088536;-0,667
December;2008;4,438;2,874362541;0,124
January;2009;5,576;25,64218116;1,138
February;2009;5,707;2,349354376;0,131
March;2009;5,468;-4,187839495;-0,239
April;2009;5,242;-4,133138259;-0,226
May;2009;5,438;3,739030904;0,196
June;2009;5,714;5,075395366;0,276
July;2009;4,962;-13,16065803;-0,752
August;2009;4,806;-3,143893591;-0,156
September;2009;4,716;-1,872659176;-0,09
October;2009;4,712;-0,084817642;-0,004
November;2009;4,839;2,69524618;0,127
December;2009;4,877;0,785286216;0,038
January;2010;4,755;-2,501537831;-0,122
February;2010;4,545;-4,416403785;-0,21
March;2010;4,5;-0,99009901;-0,045
April;2010;5,185;15,22222222;0,685
May;2010;4,902;-5,458052073;-0,283
June;2010;5,55;13,21909425;0,648
July;2010;5,076;-8,540540541;-0,474
August;2010;5,752;13,31757289;0,676
September;2010;6,747;17,29833102;0,995
October;2010;6,999;3,73499333;0,252
November;2010;9,57;36,73381912;2,571
December;2010;9,23;-3,55276907;-0,34
January;2011;9,158;-0,780065005;-0,072
February;2011;9,373;2,347674165;0,215
March;2011;10,252;9,37800064;0,879
April;2011;10,716;4,525946157;0,464
May;2011;11,093;3,51810377;0,377
June;2011;11,871;7,013431894;0,778
July;2011;11,024;-7,135034959;-0,847
August;2011;8,686;-21,20827286;-2,338
September;2011;7,825;-9,912502878;-0,861
October;2011;8,28;5,814696486;0,455
November;2011;9,436;13,96135266;1,156
December;2011;8,522;-9,686307758;-0,914
January;2012;7,256;-14,85566768;-1,266
February;2012;6,998;-3,55567806;-0,258
March;2012;6,944;-0,771649043;-0,054
April;2012;6,899;-0,648041475;-0,045
May;2012;7,431;7,711262502;0,532
June;2012;6,41;-13,73973893;-1,021
July;2012;6,08;-5,148205928;-0,33
August;2012;5,955;-2,055921053;-0,125
September;2012;5,293;-11,11670865;-0,662
October;2012;4,854;-8,293973172;-0,439
November;2012;4,512;-7,045735476;-0,342
December;2012;4,533;0,465425532;0,021
January;2013;4,104;-9,463931171;-0,429
February;2013;3,778;-7,943469786;-0,326
March;2013;4,222;11,75224987;0,444
April;2013;3,549;-15,94031265;-0,673
May;2013;3,742;5,438151592;0,193
June;2013;4,126;10,26189204;0,384
July;2013;3,9;-5,47746001;-0,226
August;2013;4,203;7,769230769;0,303
September;2013;3,894;-7,351891506;-0,309
October;2013;3,504;-10,01540832;-0,39
November;2013;3,544;1,141552511;0,04
December;2013;3,466;-2,200902935;-0,078
January;2014;3,311;-4,472013849;-0,155
February;2014;3,115;-5,919661734;-0,196
March;2014;3,016;-3,178170144;-0,099
April;2014;2,819;-6,531830239;-0,197
May;2014;2,616;-7,201135154;-0,203
June;2014;2,363;-9,671253823;-0,253
July;2014;2,223;-5,924672027;-0,14
August;2014;1,787;-19,6131354;-0,436
September;2014;1,666;-6,77112479;-0,121
October;2014;1,734;4,081632653;0,068
November;2014;1,39;-19,83852364;-0,344
December;2014;1,243;-10,57553957;-0,147
January;2015;1,143;-8,045052293;-0,1
February;2015;0,876;-23,35958005;-0,267
March;2015;0,757;-13,58447489;-0,119
April;2015;0,927;22,45706737;0,17
May;2015;1,179;27,18446602;0,252
June;2015;1,641;39,18575064;0,462
July;2015;1,208;-26,38634979;-0,433
August;2015;1,451;20,11589404;0,243
September;2015;1,238;-14,67953136;-0,213
October;2015;1,12;-9,531502423;-0,118
November;2015;0,9985;-10,84821429;-0,1215
December;2015;1,1475;14,92238358;0,149
January;2016;0,8433;-26,50980392;-0,3042
February;2016;0,8055;-4,482390608;-0,0378
March;2016;0,733;-9,000620732;-0,0725
April;2016;0,986;34,51568895;0,253
